,LAcode,LAname,objectid,all_categories,from_home,underground_metro _light_rail_tram,Train,bus_minibus_or_coach,taxi,motorcycle_or_scooter,driving_a_car_or _a_van,passeneger_a_car_or _a_van,bicycle,on_foot,other,not_in_employment,health_all_categories,very_good_health,good_health,fair_health,bad_health,very_bad_health
89,E08000035,Leeds,90,560849,29647,454,11440,49589,3047,1740,190643,21056,6237,40140,1232,205624,751485,361295,254023,95515,31504,9148
90,E08000036,Wakefield,91,240997,11373,116,3964,10513,1356,967,95373,11418,1869,14373,506,89169,325837,139288,110920,50595,19507,5527
91,E08000037,Gateshead,92,148079,6383,4270,705,13909,453,364,50236,5830,1314,7966,447,56202,200214,85320,67807,31158,12152,3777
92,E09000001,City of London,93,6307,687,879,253,263,40,22,134,11,243,2174,41,1560,7375,4112,2374,643,190,56
93,E09000002,Barking and Dagenham,94,127568,4740,16011,9060,9215,334,615,27360,2086,1064,4420,312,52351,185911,87819,62720,24042,8686,2644
94,E09000003,Barnet,95,258443,20968,43280,9630,19677,676,1777,58404,3460,2368,9551,867,87785,356386,183453,117508,39172,12197,4056
95,E09000004,Bexley,96,165914,8560,2724,27039,9553,839,1424,49278,3287,1274,5712,469,55755,231997,111323,80446,29015,8688,2525
96,E09000005,Brent,97,233726,12856,41392,10081,25922,376,1512,38202,2820,3699,9877,724,86265,311215,149695,108169,36731,12339,4281
97,E09000006,Bromley,98,222539,15799,4816,45418,11115,720,1630,57095,3247,2190,8708,630,71171,309392,154998,105574,36098,9904,2818
98,E09000007,Camden,99,173833,14366,35908,6783,15476,691,1157,9984,758,6721,16420,702,64867,220338,117692,67334,22963,9174,3175
99,E09000008,Croydon,100,263048,15619,10923,41346,24193,544,1471,59655,3903,2115,12296,922,90061,363378,174584,128634,43473,12734,3953
100,E09000009,Ealing,101,252764,15002,43953,9710,22660,362,1647,51845,3125,4760,10974,782,87944,338449,166385,116712,38421,12817,4114
101,E09000010,Enfield,102,224024,12362,20636,15909,17728,668,933,55090,3390,1905,8268,733,86402,312466,146351,109394,39699,12840,4182
102,E09000011,Greenwich,103,186722,9610,17440,26997,18336,513,1221,30825,2204,2669,7110,896,68901,254557,127641,83875,29386,10420,3235
103,E09000012,Hackney,104,187423,11963,22486,8336,30541,492,1220,12445,877,16389,13187,620,68867,246270,128442,75699,26837,11183,4109
104,E09000013,Hammersmith and Fulham,105,145552,10416,37734,4269,13395,374,2060,11084,678,7103,11980,525,45934,182493,103036,53374,17188,6531,2364
